tiempo = 0  ;  avaliable es 16095
tiempo = 2.002s  tamano descargado = 76.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.002s  tamano descargado = 77.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.002s  tamano descargado = 78.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.002s  tamano descargado = 79.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.039s  tamano descargado = 80.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.039s  tamano descargado = 81.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.039s  tamano descargado = 82.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.039s  tamano descargado = 83.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.039s  tamano descargado = 84.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 85.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 86.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 87.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 88.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 89.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 90.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 91.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 92.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 93.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 94.71777KB  tama;o del buffer  1.0KB 
tiempo = 2.04s  tamano descargado = 95.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 96.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 97.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 98.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 99.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 100.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 101.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 102.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 103.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 104.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 105.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 106.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 107.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 108.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 109.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 110.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.358s  tamano descargado = 111.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 112.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 113.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 114.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 115.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 116.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 117.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 118.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.463s  tamano descargado = 119.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.464s  tamano descargado = 120.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.464s  tamano descargado = 121.71777KB  tama;o del buffer  1.0KB 
